ref,wilfordMatch,scriptureMatch
Acts 2:38, shall receive the Holy Ghost., shall receive the gift of the Holy Ghost.
Matt. 3:15,Suffer it to be so now: for thus it becometh us to fulfil all righteousness. Then he suffered him.,Suffer it to be so now: for thus it becometh us to fulfil all righteousness. Then he suffered him.
Acts 13:46, turn to the Gentiles., turn to the Gentiles.
Rom. 11:25, happened to Israel, happened to Israel
1 Cor. 12:28,"y teachers, after that miracles, then gifts of healings, helps, governments, diversities of tongues","y teachers, after that miracles, then gifts of healings, helps, governments, diversities of tongues"
JS-H 1:68-72,d the keys of the ,d the keys of the 
Luke 2:10,d tidings of great joy,d tidings of great joy
D&C 31:3,e glad tidings of great joy,e glad tidings of great joy
D&C 79:1, glad tidings of great joy, glad tidings of great joy
John 3:19, darkness rather than light, darkness rather than light
D&C 58:22, whose right it is to reign, whose right it is to reign
1 Cor. 9:16," unto me, if I preach not the "," unto me, if I preach not the "
John 15:19," were of the world, the world would love "," were of the world, the world would love "
John 15:18,"f the world, the world would love you as its own. It hated me before it hated you.","f the world hate you, ye know that it hated me before it hated you."
Dan. 2:35, the whole earth., the whole earth.
D&C 65:2, the whole earth., the whole earth.
D&C 101:80,ed the Constitution of ,ed the Constitution of 
A of F 1:11, God according to the dictates of his own conscience, God according to the dictates of our own conscience
Matt. 7:2," what measure we mete, shall be measured "," what measure ye mete, it shall be measured "
Matt. 15:14,ll fall into the ditch,ll fall into the ditch
Luke 6:39, fall into the ditch, fall into the ditch
Gen. 2:7,s the breath of life,s the breath of life
A of F 1:11, God according to the dictates of their own conscience, God according to the dictates of our own conscience
A of F 1:11, God according to the dictates of your own conscience, God according to the dictates of our own conscience
Joel 2:31," be turned to darkness, "," be turned into darkness, "
D&C 45:42,", the sun may be turned to darkness, the moon to blood, the stars may fall from heaven",", the sun shall be darkened, and the moon be turned into blood, and the stars fall from heaven"
Matt. 24:35," pass away, but "," pass away, but "
Matt. 12:24," cast out devils it was imputed to the power of Beelzebub, the prince of "," cast out devils, but by Beelzebub the prince of "
Luke 11:15, out devils it was imputed to the power of Beelzebub, out devils through Beelzebub
John 9:24,Give God the praise: we know that this man is a sinner.,Give God the praise: we know that this man is a sinner.
Mark 15:37, gave up the ghost., gave up the ghost.
Luke 23:46, he gave up the ghost., he gave up the ghost.
1 Pet. 3:19, went and preached to the spirits in prison, went and preached unto the spirits in prison
Heb. 11:37," were sawn asunder,"," were sawn asunder,"
Luke 23:21,"Crucify him, crucify him","Crucify him, crucify him"
Matt. 27:25,is blood be upon us and our children.,"is blood be on us, and on our children."
Luke 21:24, of the Gentiles , of the Gentiles 
Rev. 14:6-7,"Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come","Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come"
John 15:18-19,"e ye are not of the world, but I have chosen you out of the world, therefore the world hateth you.","e ye are not of the world, but I have chosen you out of the world, therefore the world hateth you."
