ref,wilfordMatch,scriptureMatch
Rev. 14:13,"forth: Yea, saith the Spirit, that they may rest from their labors; and their works do follow them.","forth: Yea, saith the Spirit, that they may rest from their labours; and their works do follow them."
D&C 58:30-31,"ord, that I command and am not obeyed? Who am I, saith the Lord, that I promise and do not fulfill","ord, that will hold him guiltless that obeys not my commandments?Who am I, saith the Lord, that have promised and have not fulfill"
Isa. 55:1,", and from country to country, to preach the word of God without money and without price",", and he that hath no money; come ye, buy, and eat; yea, come, buy wine and milk without money and without price"
D&C 58:30-31,"ord, that I command and am not obeyed? Who am I, saith the Lord, that I promise and do not fulfill","ord, that will hold him guiltless that obeys not my commandments?Who am I, saith the Lord, that have promised and have not fulfill"
Rom. 6:5,"er in the likeness of his death,","er in the likeness of his death,"
Rom. 6:5,"er in the likeness of his death, and came forth in the likeness of his  [p.188a]resurrection","er in the likeness of his death, we shall be also in the likeness of his resurrection"
Gen. 49:10,,
Gen. 50:24,,
John 1:42,,
1 Cor. 1:27," of them were illiterate fishermen, (JST) poor men, weak things of the world", of the world to confound the wise; and God hath chosen the weak things of the world
D&C 1:19, weak things of the world, weak things of the world
Matt. 16:19,nto their hands he gave the keys of the kingdom of ,nto thee the keys of the kingdom of 
Luke 8:1,s of the kingdom of God,s of the kingdom of God
John 15:16,,
D&C 27:12,,
Matt. 16:19, on earth and in heaven, on earth shall be bound in heaven
Matt. 18:18, on earth and in heaven, on earth shall be bound in heaven
Ezek. 37:15-28,,
JS-H 1:59,,
D&C 13:1,,
JS-H 1:68-72,; and when he gave him the Priesthood under the hands of John the Baptist,"; and this shall never be taken again from the earth until the sons of Levi do offer again an offering unto the Lord in righteousness.He said this Aaronic Priesthood had not the power of laying on hands for the gift of the Holy Ghost, but that this should be conferred on us hereafter; and he commanded us to go and be baptized, and gave us directions that I should baptize Oliver Cowdery, and that afterwards he should baptize me.Accordingly we went and were baptized. I baptized him first, and afterwards he baptized me--after which I laid my hands upon his head and ordained him to the Aaronic Priesthood, and afterwards he laid his hands on me and ordained me to the same Priesthood--for so we were commanded.The messenger who visited us on this occasion and conferred this Priesthood upon us, said that his name was John, the same that is called John the Baptist"
D&C 27:12,,
D&C 135:3,,
Heb. 9:16-17,,
D&C 135:5,,
Dan. 4:3," kingdom which is to be an everlasting kingdom, and to whose dominion "," kingdom is an everlasting kingdom, and his dominion "
Dan. 7:27,,
Dan. 2:44,,
Dan. 7:18,"aints of the Most High, and they will possess it forever and ever.","aints of the most High shall take the kingdom, and possess the kingdom for ever, even for ever and ever."
Jer. 3:14, one of a family and two of a ," one of a city, and two of a "
Matt. 22:30, in the spirit world any more than there is any marrying and giving in marriage," in the resurrection they neither marry, nor are given in marriage"
Acts 10:34, God is no respecter of persons, God is no respecter of persons
1 Pet. 4:6,"r for them by proxy here in the flesh, that they may be judged according to men in the flesh","r for this cause was the gospel preached also to them that are dead, that they might be judged according to men in the flesh"
Isa. 60:22," little one shall become a thousand, and the small one a strong nation"," little one shall become a thousand, and a small one a strong nation"
3 Ne. 28:36-40,,
2 Pet. 1:8, these things we become barren and unfruitful ," these things be in you, and abound, they make you that ye shall neither be barren nor unfruitful "
D&C 76:63,ll come and reign on the earth,ll come in the clouds of heaven to reign on the earth
D&C 34:12,,
D&C 51:20," quickly,” “I come at an hour ye think not"," quickly, in an hour you think not"
D&C 110:16,,
D&C 106:4," coming is at the door,” “I come as a thief in the night"," coming of the Lord draweth nigh, and it overtaketh the world as a thief in the night"
D&C 61:38,,
D&C 35:15, looking for the coming, looking forth for the time of my coming
D&C 45:39, looking for the coming of ," looking forth for the great day of the Lord to come, even for the signs of the coming of "
D&C 58:31, the Lord promised these things without intending to fulfill," the Lord, that have promised and have not fulfill"
D&C 45:66, a place of safety for the , a place of safety for the 
D&C 109:38,,
JS-H 1:45,,
1 Cor. 1:27-28,"d to confound the world, and things that are nought to bring to nought things that are","d to confound the wise; and God hath chosen the weak things of the world to confound the things which are mighty;And base things of the world, and things which are despised, hath God chosen, yea, and things which are not, to bring to nought things that are"
D&C 6:3,,
John 9:4," while the day lasts, for by and by the night will come when no man can work."," while it is day: the night cometh, when no man can work."
