ref,wilfordMatch,scriptureMatch
Matt. 24:35,"nd earth itself may pass away, but ","nd earth shall pass away, but "
Matt. 1:2,,
Luke 3:33,,
Matt. 12:24," cast out devils it was imputed to the power of Beelzebub, the prince of devils."," cast out devils, but by Beelzebub the prince of the devils."
Luke 11:15,"e cast out devils it was imputed to the power of Beelzebub, the prince of devils.",e casteth out devils through Beelzebub the chief of the devils.
John 9:24,d they said: “Give God the praise: we know that this man is a sinner.,"d they the man that was blind, and said unto him, Give God the praise: we know that this man is a sinner."
Matt. 27:50,,
Mark 15:37,d Jesus Christ to the cross where he gave up the ghost.,"d Jesus cried with a loud voice, and gave up the ghost."
Luke 23:46, Jesus Christ to the cross where he gave up the ghost.," Jesus had cried with a loud voice, he said, Father, into thy hands I commend my spirit: and having said thus, he gave up the ghost."
1 Pet. 3:19, went and preached to the spirits in prison, went and preached unto the spirits in prison
D&C 138:28,,
3 Ne. 16:1-3,,
Heb. 11:37," were sawn asunder,"," were sawn asunder,"
Luke 23:21," cried out, “Crucify him, crucify him"," cried, saying, Crucify him, crucify him"
John 18:38," him, crucify him,” and a Gentile judge had declared he could find no fault "," him, What is truth? And when he had said this, he went out again unto the Jews, and saith unto them, I find in him no fault "
Matt. 27:25,"ll they were ready to say-“All right, you let his blood be upon us and our children.","ll the people, and said, His blood be on us, and on our children."
Luke 21:24," of the Gentiles for 1,800 years, in fulfill", of the Gentiles be fulfill
Dan. 2:44,,
Rev. 14:6-7,"Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come","Saying with a loud voice, Fear God, and give glory to him; for the hour of his judgment is come"
Isa. 35:1,,
John 15:18-19,"e ye are not of the world, but I have chosen you out of the world, therefore the world hateth you.","e ye are not of the world, but I have chosen you out of the world, therefore the world hateth you."
Matt. 10:28, able to destroy the soul: but rather fear him which is able to destroy both soul and body in hell., able to kill the soul: but rather fear him which is able to destroy both soul and body in hell.
Matt. 5:18, one jot or tittle of the Old Book that the sectarian world believe in but will be fulfilled.," one jot or one tittle shall in no wise pass from the law, till all be fulfilled."
3 Ne. 15:6,ll be fulfilled.,ll be fulfilled.
Morm. 8:33,,
D&C 1:38,,
Isa. 54:17,er; and every tongue that shall rise against thee in judgment thou shalt condemn,er; and every tongue that shall rise against thee in judgment thou shalt condemn
Dan. 2:44, the God of heaven shall set up a kingdom which shall never be destroyed," the God of heaven set up a kingdom, which shall never be destroyed"
Dan. 2:34-35,,
D&C 65:2,,
D&C 101:80,e have a Constitution ,e have I established the Constitution 
Matt. 24:30,,
Rev. 22:1-3,,
Rev. 5:10, reign on the earth, reign on the earth
Rev. 20:4, reign on the earth a thousand years., reigned with Christ a thousand years.
1 Pet. 3:19, went to preach to the spirits in prison, went and preached unto the spirits in prison
Matt. 12:41-42,,
Luke 11:31-32,ll rise up in judgment ,ll rise up in the judgment 
D&C 135:3,n. He sealed his testimony with his blood,"n. He lived great, and he died great in the eyes of God and his people; and like most of the Lord's anointed in ancient times, has sealed his mission and his works with his own blood"
D&C 135:5,,
Ezek. 37:15-20,,
D&C 27:5, the stick of Joseph in the hands of Ephraim, the stick of Ephraim
Gen. 11:1-9,,
Ether 1:33-43,,
3 Ne. 11:1-12,,
Matt. 5:18, heavens and earth pass away not one jot or tittle will ever fall unfulfilled.," heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled."
Matt. 24:35, and earth pass away, and earth shall pass away
D&C 1:38,; and though the heavens and ,; and though the heavens and 
D&C 76:1-119,,
D&C 76:28, commanded to write while in the vision, commanded us that we should write the vision
D&C 76:49, the visions of heaven they were commanded to write while in the vision," the vision, for lo, this is the end of the vision"
D&C 76:80, the visions of heaven they were commanded to write while in the ," the vision which we saw of the terrestrial, that the Lord commanded us to write while we were yet in the "
D&C 76:113, the visions of heaven they were commanded to write while in the ," the vision which we saw, which we were commanded to write while we were yet in the "
2 Cor. 12:1-4,,
JS-H 1:33,,
D&C 27:12,,
Gen. 32:30,"d the Apostles, it was not particularly a vision which he had; he talked with them face to face",d the name of the place Peniel: for I have seen God face to face
Ex. 33:11,,
Ether 12:39,,
Moses 1:2, he talked with , he talked with 
Moses 7:4,,
2 Cor. 12:2-3,,
Joel 2:31,he sun darkened; I saw the moon become as blood,"he sun shall be turned into darkness, and the moon into blood"
Rev. 6:12-13,,
D&C 29:14,before me. I saw the sun darkened,before this great day shall come the sun shall be darkened
D&C 34:9,,
D&C 88:87,,
Zech. 4:2,,
Rev. 4:5,,
Matt. 2:13-23,"take the young child Jesus and his mother into Egypt, and thus he was saved from the wrath of Herod","take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him.When he arose, he took the young child and his mother by night, and departed into Egypt:And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.Then Herod, when he saw that he was mocked of the wise men, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof, from two years old and under, according to the time which he had diligently enquired of the wise men.Then was fulfilled that which was spoken by Jeremy the prophet, saying,In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not.But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead which sought the young child's life.And he arose, and took the young child and his mother, and came into the land of Israel.But when he heard that Archelaus did reign in Judaea in the room of his father Herod"
Ex. 19:6, a kingdom of Priests, a kingdom of priests
D&C 138:57,,
D&C 121:35,"r hearts upon the things of this world,","r hearts are set so much upon the things of this world,"
Eph. 6:11-14,,
D&C 27:15,d gird up our loins and put on the whole armor,"d gird up your loins, and take upon you my whole armor"
Jer. 1:5,"hou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations.","hou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations."
Dan. 2:44,,
Isa. 54:17,,
D&C 71:9,he Lord has said he will break in pieces every weapon that is raised against ,he Lord unto you--there is no weapon that is formed against 
D&C 109:25, weapon that is raised against , weapon formed against 
John 6:68, the words of eternal life, the words of eternal life
Matt. 12:41-42,,
Luke 11:31-32,,
3 Ne. 28:34,,
Moro. 10:27,,
D&C 27:2,,
1 Cor. 11:23-25, the Lord Jesus , the Lord Jesus 
Gen. 2:7, of the world and had control of every human being that [p.169b] breathes the breath of life," of the dust of the ground, and breathed into his nostrils the breath of life"
A of F 1:11," worship God according to the dictates of their own conscience,"," worshiping Almighty God according to the dictates of our own conscience,"
Eph. 2:20," the ancient pattern with Apostles and Prophets, Christ Jesus being the chief corner stone"," the apostles and prophets, Jesus Christ himself being the chief corner stone"
A of F 1:11, worship God according to the dictates of their own conscience, worshiping Almighty God according to the dictates of our own conscience
Rev. 14:6, angel from heaven, angel fly in the midst of heaven
John 10:16,"hem also I must bring, and they shall hear my voice; and there shall be one fold, and one shepherd.","hem also I must bring, and they shall hear my voice; and there shall be one fold, and one shepherd."
3 Ne. 16:1-3,,
3 Ne. 17:4, tribes of Israel, tribes of Israel
Ezek. 37:15-20," Judah in the hands of Judah, and the Book of Mormon the Stick of Joseph in the hands of Ephraim"," Judah, and for the children of Israel his companions: then take another stick, and write upon it, For Joseph, the stick of Ephraim, and for all the house of Israel his companions:And join them one to another into one stick; and they shall become one in thine hand.And when the children of thy people shall speak unto thee, saying, Wilt thou not shew us what thou meanest by these?Say unto them, Thus saith the Lord GOD; Behold, I will take the stick of Joseph, which is in the hand of Ephraim"
Gal. 1:8,"n, preach any other gospel unto you than that which we have preached unto you, let him be accursed.","n, preach any other gospel unto you than that which we have preached unto you, let him be accursed."
